trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,target.started,cue_arrow.stopped,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,target.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
66,valid,left,150,150,1000,30,30,0,z,1,0.08690320799360052,None,0,30,30,65,36.180856041028164,,,,,,,,,36.17104058305267,36.180856041028164,36.180856041028164,36.180856041028164,36.663560250017326,36.66943041601917,36.66943041601917,36.66943041601917,36.76368845801335,36.80406791600399,36.964152083033696,37.05567983305082,z,1,0.08690320799360052,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
61,invalid,left,100,150,1000,31,31,0,z,1,0.21031566604506224,None,0,31,31,60,37.068460958020296,,,,,,,,,37.06017900002189,37.068460958020296,37.068460958020296,37.068460958020296,37.555692750029266,37.56371950003086,37.56371950003086,37.56371950003086,37.65467754105339,37.65467754105339,37.804635958047584,38.02247433300363,z,1,0.21031566604506224,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
51,invalid,left,50,150,1000,32,32,0,z,1,0.2007549999980256,None,0,32,32,50,38.03369329101406,,,,,,,,,38.023379416030366,38.03369329101406,38.03369329101406,38.03369329101406,38.521031166019384,38.53041650005616,38.53041650005616,38.53041650005616,38.622977458056994,38.56429625005694,38.72108175000176,38.93259224999929,z,1,0.2007549999980256,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
89,invalid,left,150,150,1000,33,33,0,z,1,0.13843070797156543,None,0,33,33,88,38.94408620800823,,,,,,,,,38.933749708055984,38.94408620800823,38.94408620800823,38.94408620800823,39.43058700003894,39.436965416010935,39.436965416010935,39.436965416010935,39.52984087500954,39.57088387501426,39.73060441605048,39.872655041050166,z,1,0.13843070797156543,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
64,valid,left,150,150,1000,34,34,0,z,1,0.10626833303831518,None,0,34,34,63,39.88563920801971,,,,,,,,,39.87712845799979,39.88563920801971,39.88563920801971,39.88563920801971,40.372655916027725,40.38043516600737,40.38043516600737,40.38043516600737,40.47196229104884,40.5207612500526,40.67178595805308,40.78216591605451,z,1,0.10626833303831518,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
83,invalid,left,100,150,1000,35,35,0,z,1,0.4573676659492776,None,0,35,35,82,40.7959332500468,,,,,,,,,40.786460750037804,40.7959332500468,40.7959332500468,40.7959332500468,41.280476583051495,41.287535791052505,41.287535791052505,41.287535791052505,41.38060987502104,41.37024229101371,41.530629458022304,41.99896895803977,z,1,0.4573676659492776,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
58,invalid,left,150,150,1000,36,36,0,z,1,0.311574749997817,None,0,36,36,57,42.00982895802008,,,,,,,,,41.99985808302881,42.00982895802008,42.00982895802008,42.00982895802008,42.49728595803026,42.50427987502189,42.50427987502189,42.50427987502189,42.596610916021746,42.63733279105509,42.79736220801715,43.11604862503009,z,1,0.311574749997817,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
57,valid,left,100,150,1000,37,37,0,z,1,0.33134679205249995,None,0,37,37,56,43.13093945803121,,,,,,,,,43.12086991604883,43.13093945803121,43.13093945803121,43.13093945803121,43.61400041601155,43.620311375008896,43.620311375008896,43.620311375008896,43.71417916601058,43.70376370800659,43.864694666001014,44.19891679100692,z,1,0.33134679205249995,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
23,valid,right,50,150,1000,38,38,0,m,1,0.2695460000541061,None,0,38,38,22,44.21286529104691,,,,,,,,,44.203433541057166,44.21286529104691,44.21286529104691,44.21286529104691,44.697441833035555,44.703630416013766,44.703630416013766,44.703630416013766,44.79757358302595,44.73738870804664,44.89743058301974,45.17280183301773,m,1,0.2695460000541061,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
38,invalid,left,50,150,1000,39,39,0,z,1,0.27281858294736594,None,0,39,39,37,45.184864708047826,,,,,,,,,45.17377050005598,45.184864708047826,45.184864708047826,45.184864708047826,45.67174087505555,45.680749291030224,45.680749291030224,45.680749291030224,45.77242125000339,45.7140989160398,45.8712403330137,46.14887004101183,z,1,0.27281858294736594,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
19,invalid,left,100,150,1000,40,40,0,z,1,0.18774133297847584,None,0,40,40,18,46.160631958046,,,,,,,,,46.149845291045494,46.160631958046,46.160631958046,46.160631958046,46.64672412502114,46.65236895804992,46.65236895804992,46.65236895804992,46.7477687500068,46.73739308305085,46.897295791015495,47.08946350001497,z,1,0.18774133297847584,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
44,invalid,left,50,150,1000,41,41,0,z,1,0.3492575000273064,None,0,41,41,43,47.10034075001022,,,,,,,,,47.09031933301594,47.10034075001022,47.10034075001022,47.10034075001022,47.588746625056956,47.5967259160243,47.5967259160243,47.5967259160243,47.68939145799959,47.63714429101674,47.78783437504899,48.13999720802531,z,1,0.3492575000273064,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
6,valid,right,150,150,1000,42,42,0,m,1,0.30458683299366385,None,0,42,42,5,48.15080108301481,,,,,,,,,48.14096958300797,48.15080108301481,48.15080108301481,48.15080108301481,48.638320708007086,48.647364958014805,48.647364958014805,48.647364958014805,48.73971483303467,48.78075625002384,48.93748562503606,49.24914345802972,m,1,0.30458683299366385,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
86,invalid,left,50,150,1000,43,43,0,z,1,0.2763975409907289,None,0,43,43,85,49.26054149999982,,,,,,,,,49.25009195803432,49.26054149999982,49.26054149999982,49.26054149999982,49.747486791049596,49.754713333037216,49.754713333037216,49.754713333037216,49.84757920802804,49.78702820802573,49.94761887501227,50.232509250054136,z,1,0.2763975409907289,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
79,invalid,left,150,150,1000,44,44,0,z,1,0.3101292080245912,None,0,44,44,78,50.24325341603253,,,,,,,,,50.23350770800607,50.24325341603253,50.24325341603253,50.24325341603253,50.730827791034244,50.73792362504173,50.73792362504173,50.73792362504173,50.83081050001783,50.870988750015385,51.03089633304626,51.34919483301928,z,1,0.3101292080245912,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
54,valid,right,150,150,1000,45,45,0,m,1,0.1315950409625657,None,0,45,45,53,51.36031695804559,,,,,,,,,51.35016395803541,51.36031695804559,51.36031695804559,51.36031695804559,51.84684195800219,51.85406729101669,51.85406729101669,51.85406729101669,51.94756304100156,51.987331916054245,52.14746487501543,52.28228383301757,m,1,0.1315950409625657,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
34,valid,left,50,150,1000,46,46,0,z,1,0.22996420797426254,None,0,46,46,33,52.29665333300363,,,,,,,,,52.28697887505405,52.29665333300363,52.29665333300363,52.29665333300363,52.78084904100979,52.7872520830133,52.7872520830133,52.7872520830133,52.8810204580077,52.82057820801856,52.980889083002694,53.21601879101945,z,1,0.22996420797426254,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
95,invalid,right,150,150,1000,47,47,0,m,1,0.16386787401279435,None,0,47,47,94,53.22761191602331,,,,,,,,,53.21721783303656,53.22761191602331,53.22761191602331,53.22761191602331,53.7134855830227,53.720578958047554,53.720578958047554,53.720578958047554,53.814085916033946,53.85424520802917,54.0142421250348,54.18250616604928,m,1,0.16386787401279435,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
14,valid,left,50,150,1000,48,48,0,z,1,0.1869408329948783,None,0,48,48,13,54.193332500057295,,,,,,,,,54.183442750014365,54.193332500057295,54.193332500057295,54.193332500057295,54.68022241600556,54.687389708007686,54.687389708007686,54.687389708007686,54.78100200003246,54.720586250012275,54.8809929160052,55.072166666039266,z,1,0.1869408329948783,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
94,valid,right,50,150,1000,49,49,0,m,1,0.21561791596468538,None,0,49,49,93,55.084978291008156,,,,,,,,,55.07651175005594,55.084978291008156,55.084978291008156,55.084978291008156,55.57305237505352,55.580728791013826,55.580728791013826,55.580728791013826,55.67251037503593,55.6203839580412,55.76434454100672,55.98242204100825,m,1,0.21561791596468538,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
21,valid,right,100,150,1000,50,50,0,m,1,0.1629839999950491,None,0,50,50,20,55.99250195804052,,,,,,,,,55.98337700002594,55.99250195804052,55.99250195804052,55.99250195804052,56.48015175003093,56.48712912504561,56.48712912504561,56.48712912504561,56.58114945801208,56.57059650000883,56.73100291599985,56.898984166036826,m,1,0.1629839999950491,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
82,valid,left,50,150,1000,51,51,0,z,1,0.17617574898758903,None,0,51,51,81,56.91414645803161,,,,,,,,,56.904178916011006,56.91414645803161,56.91414645803161,56.91414645803161,57.397400916030165,57.403595916053746,57.403595916053746,57.403595916053746,57.49800275004236,57.43738800002029,57.597806875011884,57.78226870804792,z,1,0.17617574898758903,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
73,invalid,left,150,150,1000,52,52,0,m,0,0.08568745804950595,None,0,52,52,72,57.79570925002918,,,,,,,,,57.78638108301675,57.79570925002918,57.79570925002918,57.79570925002918,58.28076983301435,58.28749145800248,58.28749145800248,58.28749145800248,58.38088291604072,58.420346416009124,58.581382416014094,58.673795750015415,m,0,0.08568745804950595,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
