delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials_2.textbox.text,trials_2.button.numClicks,trials_2.button.timesOn,trials_2.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000,exp,125,5,10,space,0.9380762489745393,None,200,1,[4.089574541954789],[4.089579833962489],10,5,125,9,679.4259571660077,,679.420266791014,679.4259571660077,680.4168240830186,680.4168240830186,680.4168240830186,681.3615779160173,space,0.9380762489745393,None,681.3629171660286,681.4650792916693,681.7734845000086,681.7555699160439,681.7573408750468,681.7734845000086,681.7734845000086,681.7734845000086,685.8633441250422,200,1,[4.089574541954789],[4.089579833962489],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,126,6,10,space,0.6511249159811996,None,200,1,[1.8037884589866735],[1.803793583996594],10,6,126,5,685.8761775410385,,685.8635337910382,685.8761775410385,686.8599757080083,686.8599757080083,686.8672871660092,687.5198338330374,space,0.6511249159811996,None,687.5213410000433,688.2270410417152,688.5324989579967,688.5156389159965,688.5174559580046,688.5324989579967,688.5324989579967,688.5324989579967,690.3365869580302,200,1,[1.8037884589866735],[1.803793583996594],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,127,7,10,space,2.205029999022372,None,100,1,[2.022012583038304],[2.0220180410542525],10,7,127,7,690.3421929160249,,690.3367896249983,690.3421929160249,691.3328302080045,691.3328302080045,691.3328302080045,693.5450593330315,space,2.205029999022372,None,693.546516500006,693.9494586247058,694.2540482910117,694.2381568750134,694.2394933750038,694.2540482910117,694.2540482910117,694.2540482910117,696.276343916019,100,1,[2.022012583038304],[2.0220180410542525],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,400,unexp,128,8,10,space,0.7440994160133414,None,700,1,[1.7965722500230186],[1.7965776670025662],10,8,128,2,696.2811570000486,,696.2765334160067,696.2811570000486,697.2677232500282,697.2677232500282,697.2765005830443,698.0179547910229,space,0.7440994160133414,None,698.0192500410485,698.7171065416808,699.0233719160315,699.0058544159983,699.0075537500088,699.0233719160315,699.0233719160315,699.0233719160315,700.8202416250133,700,1,[1.7965722500230186],[1.7965776670025662],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,129,9,10,space,0.8028646250022575,None,100,1,[2.127777707995847],[2.12778304197127],10,9,129,11,700.8256049579941,,700.820441125019,700.8256049579941,701.8168740830151,701.8168740830151,701.8168740830151,702.6290820830036,space,0.8028646250022575,None,702.6306895409944,703.3338054167145,703.6413779160357,703.6220888330135,703.6237767080311,703.6413779160357,703.6413779160357,703.6413779160357,705.7694605000434,100,1,[2.127777707995847],[2.12778304197127],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,130,10,10,space,0.9838587080012076,None,100,1,[1.422633083013352],[1.422638582997024],10,10,130,3,705.7761953330482,,705.7696695410414,705.7761953330482,706.7677863330464,706.7677863330464,706.7677863330464,707.7619767910219,space,0.9838587080012076,None,707.7636087500141,707.8663809166794,708.1744412080152,708.1563904160284,708.1578655000194,708.1744412080152,708.1744412080152,708.1744412080152,709.5973515830119,100,1,[1.422633083013352],[1.422638582997024],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,131,11,10,space,0.49427229102002457,None,100,1,[1.6891726669855416],[1.6891783750033937],10,11,131,8,709.6100260830135,,709.5975437909947,709.6100260830135,710.5933174579986,710.5933174579986,710.6000865829992,711.0949729999993,space,0.49427229102002457,None,711.0959661250236,711.7998449996851,712.106346500048,712.088802415994,712.0901992080035,712.106346500048,712.106346500048,712.106346500048,713.7958099580137,100,1,[1.6891726669855416],[1.6891783750033937],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,132,0,11,space,1.0571193739888258,None,100,1,[2.011271332972683],[2.0112769579864107],11,0,132,10,713.800907833036,,713.7960078750039,713.800907833036,714.7935818330152,714.7935818330152,714.7935818330152,715.8523980409955,space,1.0571193739888258,None,715.8536718329997,716.2606985826899,716.5662430830416,716.5492180000292,716.5510687910137,716.5662430830416,716.5662430830416,716.5662430830416,718.5778013750096,100,1,[2.011271332972683],[2.0112769579864107],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,133,1,11,space,1.099056332022883,None,200,1,[3.277889749966562],[3.2778953749802895],11,1,133,3,718.5937916249968,,718.5779896660242,718.5937916249968,719.5675643330324,719.5675643330324,719.5939398329938,720.6685892080422,space,1.099056332022883,None,720.6699330410338,720.769753291683,721.0826235410059,721.0662847500062,721.0672250830103,721.0826235410059,721.0826235410059,721.0826235410059,724.3608088750043,200,1,[3.277889749966562],[3.2778953749802895],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,400,unexp,134,2,11,space,0.5648055829806253,None,400,1,[2.103910541976802],[2.1039162920205854],11,2,134,2,724.3766488330439,,724.3609993749997,724.3766488330439,725.3518070410355,725.3518070410355,725.3667796660447,725.9191574160359,space,0.5648055829806253,None,725.9207452500123,726.6274994576854,726.932757875009,726.9159832909936,726.9177750410163,726.932757875009,726.932757875009,726.932757875009,729.0369429580169,400,1,[2.103910541976802],[2.1039162920205854],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
