trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,target.started,cue_arrow.stopped,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
42,invalid,right,150,150,1000,9,9,0,m,1,0.2703643750282936,None,0,9,9,41,35.37246066698572,,,,,,,,,35.36371320899343,35.37246066698572,35.37246066698572,35.37246066698572,35.856734166969545,35.862771334010176,35.862771334010176,35.862771334010176,35.95677804201841,35.995704791974276,36.15700991702033,36.43100979196606,m,1,0.2703643750282936,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
25,invalid,right,150,150,1000,10,10,0,m,1,0.205862500006333,None,0,10,10,24,36.44197508401703,,,,,,,,,36.431968667020556,36.44197508401703,36.44197508401703,36.44197508401703,36.93037387501681,36.940046667004935,36.940046667004935,36.940046667004935,37.03114291699603,37.07347070897231,37.22955895902123,37.44193600001745,m,1,0.205862500006333,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
15,invalid,right,50,150,1000,11,11,0,m,1,0.2201027080300264,None,0,11,11,14,37.451863374968525,,,,,,,,,37.442874958971515,37.451863374968525,37.451863374968525,37.451863374968525,37.9399718749919,37.9458790839999,37.9458790839999,37.9458790839999,38.04023425001651,37.97868758399272,38.14029504201608,38.36545208399184,m,1,0.2201027080300264,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
86,invalid,left,50,150,1000,12,12,0,z,1,0.23206300003221259,None,0,12,12,85,38.37683245900553,,,,,,,,,38.36910800001351,38.37683245900553,38.37683245900553,38.37683245900553,38.86490591696929,38.873307166970335,38.873307166970335,38.873307166970335,38.96378441702109,38.912478625017684,39.06325854198076,39.29772004199913,z,1,0.23206300003221259,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
40,valid,left,100,150,1000,13,13,0,z,1,0.22438741702353582,None,0,13,13,39,39.309858249966055,,,,,,,,,39.302034624968655,39.309858249966055,39.309858249966055,39.309858249966055,39.7977686249651,39.8069927499746,39.8069927499746,39.8069927499746,39.89049645897467,39.89049645897467,40.04698899999494,40.274795249977615,z,1,0.22438741702353582,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
49,invalid,right,50,150,1000,14,14,0,m,1,0.2472827919991687,None,0,14,14,48,40.2835627499735,,,,,,,,,40.27544937498169,40.2835627499735,40.2835627499735,40.2835627499735,40.773853124992456,40.77950741699897,40.77950741699897,40.77950741699897,40.87379929202143,40.8126963339746,40.96311837498797,41.21462058398174,m,1,0.2472827919991687,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
56,invalid,right,100,150,1000,15,15,0,m,1,0.24895316699985415,None,0,15,15,55,41.24012445897097,,,,,,,,,41.21566749998601,41.24012445897097,41.24012445897097,41.24012445897097,41.71262470900547,41.72930508397985,41.72930508397985,41.72930508397985,41.81299166701501,41.80672179197427,41.96323620900512,42.21471091697458,m,1,0.24895316699985415,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
4,invalid,right,150,150,1000,16,16,0,m,1,0.14823941700160503,None,0,16,16,3,42.2310097499867,,,,,,,,,42.21573150000768,42.2310097499867,42.2310097499867,42.2310097499867,42.71423683397006,42.723454874998424,42.723454874998424,42.723454874998424,42.815468750020955,42.85726145899389,43.01304849999724,43.16402295901207,m,1,0.14823941700160503,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
30,invalid,left,100,150,1000,17,17,0,z,1,0.2487642079940997,None,0,17,17,29,43.176598666992504,,,,,,,,,43.16824333398836,43.176598666992504,43.176598666992504,43.176598666992504,43.65675324999029,43.67412412498379,43.67412412498379,43.67412412498379,43.76300966698909,43.74378216697369,43.90756570897065,44.158895583997946,z,1,0.2487642079940997,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
66,valid,left,150,150,1000,18,18,0,z,1,0.13239962502848357,None,0,18,18,65,44.17211333400337,,,,,,,,,44.162821542005986,44.17211333400337,44.17211333400337,44.17211333400337,44.65664979198482,44.66270937497029,44.66270937497029,44.66270937497029,44.75699679198442,44.796344041998964,44.9570120840217,45.092335666995496,z,1,0.13239962502848357,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
