trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,cue_arrow.stopped,target.started,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
52,valid,left,100,150,1000,23,23,0,z,1,0.1966190419625491,None,0,23,23,51,24.073127833020408,,,,,,,,,24.065078957995865,24.073127833020408,24.073127833020408,24.073127833020408,24.55979650001973,24.568933916976675,24.568933916976675,24.568933916976675,24.652555832988583,24.659875750017818,24.808620667026844,25.01084137498401,z,1,0.1966190419625491,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
31,invalid,right,50,150,1000,24,24,0,m,1,0.19993649900425225,None,0,24,24,30,25.022012916975655,,,,,,,,,25.01177149999421,25.022012916975655,25.022012916975655,25.022012916975655,25.50940391700715,25.51892762503121,25.51892762503121,25.51892762503121,25.552555500005838,25.610344082990196,25.709263249998912,25.910644499992486,m,1,0.19993649900425225,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
51,invalid,left,50,150,1000,25,25,0,z,1,0.293380874034483,None,0,25,25,50,25.923180625017267,,,,,,,,,25.91470720799407,25.923180625017267,25.923180625017267,25.923180625017267,26.41058929200517,26.41882900003111,26.41882900003111,26.41882900003111,26.458818582992535,26.509586833009962,26.60980620799819,26.910066917014774,z,1,0.293380874034483,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
27,valid,left,100,150,1000,26,26,0,z,1,0.16877845796989277,None,0,26,26,26,26.922512541990727,,,,,,,,,26.9137012080173,26.922512541990727,26.922512541990727,26.922512541990727,27.401583500031848,27.41894212499028,27.41894212499028,27.41894212499028,27.492050707980525,27.510916792030912,27.659450499981176,27.83766779198777,z,1,0.16877845796989277,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
25,invalid,right,150,150,1000,27,27,0,m,1,0.20657649997156113,None,0,27,27,24,27.849686999979895,,,,,,,,,27.83872237498872,27.849686999979895,27.849686999979895,27.849686999979895,28.335613125003874,28.34270566701889,28.34270566701889,28.34270566701889,28.475651582994033,28.43550324998796,28.6356735000154,28.843875124992337,m,1,0.20657649997156113,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
73,invalid,left,150,150,1000,28,28,0,z,1,0.12033858301583678,None,0,28,28,72,28.85657770797843,,,,,,,,,28.84777795802802,28.85657770797843,28.85657770797843,28.85657770797843,29.34437320800498,29.352164832991548,29.352164832991548,29.352164832991548,29.49077287502587,29.443598542013206,29.642950624984223,29.77056666702265,z,1,0.12033858301583678,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
66,valid,left,150,150,1000,29,29,0,z,1,0.1830112489988096,None,0,29,29,65,29.785457291989587,,,,,,,,,29.77546545799123,29.785457291989587,29.785457291989587,29.785457291989587,30.268272583023645,30.273927707981784,30.273927707981784,30.273927707981784,30.408770582987927,30.368451167014427,30.56916391698178,30.754126292013098,z,1,0.1830112489988096,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
29,valid,right,100,150,1000,30,30,0,m,1,0.23372208297951147,None,0,30,30,28,30.769463124976028,,,,,,,,,30.75912674999563,30.769463124976028,30.769463124976028,30.769463124976028,31.25157666701125,31.269110749999527,31.269110749999527,31.269110749999527,31.34210800001165,31.35249954200117,31.502429125015624,31.744423958007246,m,1,0.23372208297951147,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
61,invalid,left,100,150,1000,31,31,0,z,1,0.14444750000257045,None,0,31,31,60,31.755283417005558,,,,,,,,,31.745360624976456,31.755283417005558,31.755283417005558,31.755283417005558,32.24317416700069,32.25163154199254,32.25163154199254,32.25163154199254,32.33604041702347,32.34343108301982,32.49269525002455,32.644282083027065,z,1,0.14444750000257045,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
20,invalid,left,150,150,1000,32,32,0,z,1,0.06446820800192654,None,0,32,32,19,32.65524975000881,,,,,,,,,32.64518599997973,32.65524975000881,32.65524975000881,32.65524975000881,33.14331062498968,33.15241600002628,33.15241600002628,33.15241600002628,33.29212533298414,33.24364420800703,33.44278216699604,33.511053875030484,z,1,0.06446820800192654,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
