trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,cue_arrow.stopped,target.started,response_key.started,target.stopped,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
83,invalid,left,100,150,1000,12,12,0,z,1,1.6117590829962865,None,0,12,12,82,25.754841208981816,,,,,,,,,25.729686166974716,25.754841208981816,25.754841208981816,25.754841208981816,26.229117374983616,26.244149083970115,26.244149083970115,26.244149083970115,26.326956791977864,26.321263666963205,26.477538166975137,27.310452667006757,28.095291125006042,z,1,1.6117590829962865,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
6,valid,right,150,150,1000,13,13,0,m,1,0.4038962909835391,None,0,13,13,5,28.121313042007387,,,,,,,,,28.096350834006444,28.121313042007387,28.121313042007387,28.121313042007387,28.59500216698507,28.610998124990147,28.610998124990147,28.610998124990147,28.73844383400865,28.688141833990812,28.88851349998731,,29.296096417005174,m,1,0.4038962909835391,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
17,valid,right,50,150,1000,14,14,0,m,1,0.5328341249842197,None,0,14,14,16,29.30716291698627,,,,,,,,,29.297019042016473,29.30716291698627,29.30716291698627,29.30716291698627,29.788933874981012,29.80521066696383,29.80521066696383,29.80521066696383,29.828627583978232,29.89619349996792,29.988557167002,,30.523871709010564,m,1,0.5328341249842197,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
50,valid,left,50,150,1000,15,15,0,z,1,0.7791779990075156,None,0,15,15,49,30.53528000001097,,,,,,,,,30.52732479199767,30.53528000001097,30.53528000001097,30.53528000001097,31.022110874997452,31.028541083971504,31.028541083971504,31.028541083971504,31.06119320896687,31.12224654201418,31.22228104196256,,32.00713570899097,z,1,0.7791779990075156,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
40,valid,left,100,150,1000,16,16,0,z,1,0.413063081970904,None,0,16,16,39,32.019035917008296,,,,,,,,,32.008297249965835,32.019035917008296,32.019035917008296,32.019035917008296,32.50497483398067,32.51171016698936,32.51171016698936,32.51171016698936,32.5935144170071,32.605243083962705,32.75536629196722,,33.17392312496668,z,1,0.413063081970904,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
18,invalid,left,50,150,1000,17,17,0,z,1,1.2583895410061814,None,0,17,17,17,33.188457208976615,,,,,,,,,33.17843799997354,33.188457208976615,33.188457208976615,33.188457208976615,33.67169983399799,33.67724312498467,33.67724312498467,33.67724312498467,33.709945791983046,33.771696334006265,33.87197329197079,34.76050816697534,35.14129816700006,z,1,1.2583895410061814,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
67,invalid,right,100,150,1000,18,18,0,m,1,1.2936469580163248,None,0,18,18,66,35.157475291984156,,,,,,,,,35.14783199998783,35.157475291984156,35.157475291984156,35.157475291984156,35.63815820898162,35.655331666988786,35.655331666988786,35.655331666988786,35.72692995896796,35.73837158398237,35.88869395898655,36.727319333993364,37.19075391697697,m,1,1.2936469580163248,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
28,valid,right,50,150,1000,19,19,0,m,1,0.4766012500040233,None,0,19,19,27,37.20485500001814,,,,,,,,,37.19445795897627,37.20485500001814,37.20485500001814,37.20485500001814,37.68840074999025,37.69413104199339,37.69413104199339,37.69413104199339,37.72697104199324,37.78900304198032,37.88875054201344,,38.37382220901782,m,1,0.4766012500040233,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
59,invalid,right,100,150,1000,20,20,0,m,1,1.0164437079802155,None,0,20,20,58,38.387444374966435,,,,,,,,,38.378957583976444,38.387444374966435,38.387444374966435,38.387444374966435,38.87157387501793,38.87730262498371,38.87730262498371,38.87730262498371,38.96013525000308,38.972014874976594,39.12195324996719,39.9719444999937,40.14043916697847,m,1,1.0164437079802155,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
15,invalid,right,50,150,1000,21,21,0,m,1,0.6724628739757463,None,0,21,21,14,40.15282554196892,,,,,,,,,40.14150324999355,40.15282554196892,40.15282554196892,40.15282554196892,40.63858591701137,40.64460900000995,40.64460900000995,40.64460900000995,40.67714462499134,40.73850537498947,40.83897679200163,,41.51355879200855,m,1,0.6724628739757463,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
30,invalid,left,100,150,1000,22,22,0,z,1,1.206749082019087,None,0,22,22,29,41.52707041701069,,,,,,,,,41.51874749996932,41.52707041701069,41.52707041701069,41.52707041701069,42.013047709013335,42.02174454199849,42.02174454199849,42.02174454199849,42.11164087499492,42.11164087499492,42.261752416961826,43.105646417010576,43.47444279200863,z,1,1.206749082019087,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
10,valid,right,50,150,1000,23,23,0,m,1,0.7478081660228781,None,0,23,23,9,43.487448624975514,,,,,,,,,43.475915167015046,43.487448624975514,43.487448624975514,43.487448624975514,43.97189049998997,43.977997459005564,43.977997459005564,43.977997459005564,44.010523042001296,44.07185887498781,44.17250579199754,,44.92326333397068,m,1,0.7478081660228781,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
93,valid,left,150,150,1000,24,24,0,z,1,0.6974626239971258,None,0,24,24,92,44.93729641701793,,,,,,,,,44.92801595898345,44.93729641701793,44.93729641701793,44.93729641701793,45.42148683400592,45.42777195898816,45.42777195898816,45.42777195898816,45.56089612498181,45.5219068339793,45.72198966698488,,46.42376074998174,z,1,0.6974626239971258,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
80,valid,left,100,150,1000,25,25,0,z,1,0.3880233319941908,None,0,25,25,79,46.43380154197803,,,,,,,,,46.424872417002916,46.43380154197803,46.43380154197803,46.43380154197803,46.921749333967455,46.9273154590046,46.9273154590046,46.9273154590046,47.011103124998044,47.021941749961115,47.172370375017636,,47.56359199999133,z,1,0.3880233319941908,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
58,invalid,left,150,150,1000,26,26,0,z,1,1.3388491660007276,None,0,26,26,57,47.57695112499641,,,,,,,,,47.568609667010605,47.57695112499641,47.57695112499641,47.57695112499641,48.0636692919652,48.07209616701584,48.07209616701584,48.07209616701584,48.21152837498812,48.16349770897068,48.361615083995275,49.161068916961085,49.70795858401107,z,1,1.3388491660007276,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
77,invalid,right,100,150,1000,27,27,0,m,1,1.1918015819974244,None,0,27,27,76,49.723174792015925,,,,,,,,,49.71352216700325,49.723174792015925,49.723174792015925,49.723174792015925,50.20500899996841,50.22215933399275,50.22215933399275,50.22215933399275,50.29417608398944,50.30574937496567,50.45541687501827,51.29420162498718,51.658062333997805,m,1,1.1918015819974244,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
16,invalid,right,50,150,1000,28,28,0,m,1,1.3245393329998478,None,0,28,28,15,51.6694618340116,,,,,,,,,51.659262541972566,51.6694618340116,51.6694618340116,51.6694618340116,52.15528079197975,52.161401459015906,52.161401459015906,52.161401459015906,52.1939281669911,52.25542558397865,52.35572308400879,53.244536000012886,53.69249091699021,m,1,1.3245393329998478,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
32,valid,right,150,150,1000,29,29,0,m,1,0.649029457999859,None,0,29,29,31,53.706460708985105,,,,,,,,,53.6975139999995,53.706460708985105,53.706460708985105,53.706460708985105,54.18863445898751,54.20566337497439,54.20566337497439,54.20566337497439,54.32757949997904,54.288522958988324,54.489299250009935,,55.14044945896603,m,1,0.649029457999859,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
88,valid,right,150,150,1000,30,30,0,m,1,0.6040809159749188,None,0,30,30,87,55.15122820896795,,,,,,,,,55.14140966697596,55.15122820896795,55.15122820896795,55.15122820896795,55.638667749997694,55.64411225001095,55.64411225001095,55.64411225001095,55.777640166983474,55.73886658396805,55.93920404196251,,56.54646458401112,m,1,0.6040809159749188,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
65,valid,right,100,150,1000,31,31,0,m,1,0.8834467070410028,None,0,31,31,64,56.55751529196277,,,,,,,,,56.547329291992355,56.55751529196277,56.55751529196277,56.55751529196277,57.04548533400521,57.05543133401079,57.05543133401079,57.05543133401079,57.13891037501162,57.145626417011954,57.294898624997586,58.138983500015456,58.19101970898919,m,1,0.8834467070410028,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
27,valid,left,100,150,1000,32,32,0,z,1,0.3870527499821037,None,0,32,32,26,58.205258166999556,,,,,,,,,58.19632837496465,58.205258166999556,58.205258166999556,58.205258166999556,58.68872933398234,58.69414366700221,58.69414366700221,58.69414366700221,58.77780699997675,58.78895033401204,58.93921462498838,,59.32968699996127,z,1,0.3870527499821037,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
60,invalid,right,150,150,1000,33,33,0,m,1,1.0453804159769788,None,0,33,33,59,59.35553045896813,,,,,,,,,59.33059929200681,59.35553045896813,59.35553045896813,59.35553045896813,59.82215995900333,59.844710833975114,59.844710833975114,59.844710833975114,59.96155158401234,59.928882666979916,60.12789479200728,60.92261045897612,61.18037124996772,m,1,1.0453804159769788,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
81,invalid,right,50,150,1000,34,34,0,m,1,0.5320798750035465,None,0,34,34,80,61.19176204199903,,,,,,,,,61.18156083399663,61.19176204199903,61.19176204199903,61.19176204199903,61.678587417001836,61.68912645900855,61.68912645900855,61.68912645900855,61.7225747089833,61.77906562498538,61.878268749976996,,62.41307850001613,m,1,0.5320798750035465,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
73,invalid,left,150,150,1000,35,35,0,z,1,0.7410635819542222,None,0,35,35,72,62.42503179196501,,,,,,,,,62.416688708995935,62.42503179196501,62.42503179196501,62.42503179196501,62.91354162496282,62.922114167013206,62.922114167013206,62.922114167013206,63.060519374965224,63.012398541963194,63.21135391696589,,63.9571724999696,z,1,0.7410635819542222,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
64,valid,left,150,150,1000,36,36,0,z,1,1.271307916031219,None,0,36,36,63,63.971032625006046,,,,,,,,,63.961720624996815,63.971032625006046,63.971032625006046,63.971032625006046,64.45553270896198,64.46082370897057,64.46082370897057,64.46082370897057,64.59513458400033,64.55569274997106,64.7559447499807,65.54471154196654,66.02935937501024,z,1,1.271307916031219,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
19,invalid,left,100,150,1000,37,37,0,z,1,0.6882975819753483,None,0,37,37,18,66.04178429197054,,,,,,,,,66.033486291999,66.04178429197054,66.04178429197054,66.04178429197054,66.5303832499776,66.53817899996648,66.53817899996648,66.53817899996648,66.62804145901464,66.62201437499607,66.77792295900872,,67.47440854198067,z,1,0.6882975819753483,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
95,invalid,right,150,150,1000,38,38,0,m,1,0.4178195000276901,None,0,38,38,94,67.48767191701336,,,,,,,,,67.47871637501521,67.48767191701336,67.48767191701336,67.48767191701336,67.97195083397673,67.97786237497348,67.97786237497348,67.97786237497348,68.1111111670034,68.07240937498864,68.27229062496917,,68.69668520899722,m,1,0.4178195000276901,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
70,valid,right,100,150,1000,39,39,0,m,1,0.7630449580028653,None,0,39,39,69,68.70882416696986,,,,,,,,,68.70101787499152,68.70882416696986,68.70882416696986,68.70882416696986,69.1969860419631,69.20542770897737,69.20542770897737,69.20542770897737,69.29585383401718,69.29585383401718,69.44513312500203,,70.21347816701746,m,1,0.7630449580028653,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
90,invalid,left,150,150,1000,40,40,0,z,1,0.7138300410006195,None,0,40,40,89,70.22494279197417,,,,,,,,,70.21429845900275,70.22494279197417,70.22494279197417,70.22494279197417,70.71232824999606,70.72270583396312,70.72270583396312,70.72270583396312,70.85592958400957,70.8127171669621,71.01145204197383,,71.73027079197345,z,1,0.7138300410006195,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
54,valid,right,150,150,1000,41,41,0,m,1,1.0626574989873916,None,0,41,41,53,71.7415814169799,,,,,,,,,71.73126270901412,71.7415814169799,71.7415814169799,71.7415814169799,72.22906520898687,72.23932029196294,72.23932029196294,72.23932029196294,72.37244312500115,72.32951691700146,72.52857129200129,73.32266987499315,73.59757325000828,m,1,1.0626574989873916,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
34,valid,left,50,150,1000,42,42,0,z,1,3.138955207017716,None,0,42,42,33,73.61004574998515,,,,,,,,,73.60219437500928,73.61004574998515,73.61004574998515,73.61004574998515,74.09623500000453,74.10583929199493,74.10583929199493,74.10583929199493,74.14433279196965,74.19651758397231,74.29543458396802,75.18921337497886,77.44218462496065,z,1,3.138955207017716,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
13,invalid,left,50,150,1000,43,43,0,z,1,0.7166299580130726,None,0,43,43,12,77.45602908398723,,,,,,,,,77.44692804198712,77.45602908398723,77.45602908398723,77.45602908398723,77.93900595896412,77.9438527500024,77.9438527500024,77.9438527500024,77.97798483399674,78.0463059169706,78.1396430839668,,78.85784891701769,z,1,0.7166299580130726,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
62,valid,right,100,150,1000,44,44,0,m,1,0.37012541602598503,None,0,44,44,61,78.87014458398335,,,,,,,,,78.8589936249773,78.87014458398335,78.87014458398335,78.87014458398335,79.35586737497943,79.3615046669729,79.3615046669729,79.3615046669729,79.44503033399815,79.45585641701473,79.60617099999217,,79.98059929197188,m,1,0.37012541602598503,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
68,invalid,right,150,150,1000,45,45,0,m,1,2.021538874018006,None,0,45,45,67,79.99301537498832,,,,,,,,,79.98533358401619,79.99301537498832,79.99301537498832,79.99301537498832,80.4800537499832,80.48924508399796,80.48924508399796,80.48924508399796,80.62272266700165,80.58006291696802,80.77877212496242,81.57272745901719,82.80868287500925,m,1,2.021538874018006,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
94,valid,right,50,150,1000,46,46,0,m,1,1.0451652490301058,None,0,46,46,93,82.82293720898451,,,,,,,,,82.8140494999825,82.82293720898451,82.82293720898451,82.82293720898451,83.30586679198314,83.31093112501549,83.31093112501549,83.31093112501549,83.34441908396548,83.405936791969,83.50616058398737,84.39498470898252,84.55818395898677,m,1,1.0451652490301058,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
85,valid,left,50,150,1000,47,47,0,z,1,0.7219079989590682,None,0,47,47,84,84.57225249998737,,,,,,,,,84.56331662496086,84.57225249998737,84.57225249998737,84.57225249998737,85.05597779201344,85.06112966698129,85.06112966698129,85.06112966698129,85.09460504201706,85.15600504196482,85.25639075000072,,85.98012545896927,z,1,0.7219079989590682,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
57,valid,left,100,150,1000,48,48,0,m,0,2.0379614160046913,None,0,48,48,56,85.98993362498004,,,,,,,,,85.98100620898185,85.98993362498004,85.98993362498004,85.98993362498004,86.47924358397722,86.47924358397722,86.47924358397722,86.47924358397722,86.57259145897115,86.57259145897115,86.72927029198036,87.56126108398894,88.77475945901824,m,0,2.0379614160046913,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
72,invalid,left,100,150,1000,49,49,0,z,1,0.6332399990060367,None,0,49,49,71,88.78924687497783,,,,,,,,,88.77891908399761,88.78924687497783,88.78924687497783,88.78924687497783,89.272518459009,89.27806258399505,89.27806258399505,89.27806258399505,89.36138550000032,89.37291537498822,89.52291324996622,,90.15771737496834,z,1,0.6332399990060367,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
56,invalid,right,100,150,1000,50,50,0,m,1,0.5536714160116389,None,0,50,50,55,90.17108258401277,,,,,,,,,90.1619760839967,90.17108258401277,90.17108258401277,90.17108258401277,90.6560439169989,90.66233704198385,90.66233704198385,90.66233704198385,90.74502550001489,90.75658520899015,90.90649995900458,,91.4644746669801,m,1,0.5536714160116389,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
20,invalid,left,150,150,1000,51,51,0,z,1,0.47831220796797425,None,0,51,51,19,91.47693779197289,,,,,,,,,91.46907087496947,91.47693779197289,91.47693779197289,91.47693779197289,91.96418499998981,91.97266120900167,91.97266120900167,91.97266120900167,92.11149312497582,92.06293412501691,92.26281329197809,,92.74726762500359,z,1,0.47831220796797425,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
96,invalid,left,100,150,1000,52,52,0,z,1,0.6216348320012912,None,0,52,52,95,92.75820974999806,,,,,,,,,92.74811041698558,92.75820974999806,92.75820974999806,92.75820974999806,93.24635958397994,93.25616350001656,93.25616350001656,93.25616350001656,93.34599424997577,93.34599424997577,93.4954934589914,,94.12471254199045,z,1,0.6216348320012912,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
42,invalid,right,150,150,1000,53,53,0,m,1,0.6905939580174163,None,0,53,53,41,94.13775166700361,,,,,,,,,94.12916808400769,94.13775166700361,94.13775166700361,94.13775166700361,94.62269191700034,94.62833979196148,94.62833979196148,94.62833979196148,94.76184824999655,94.72268558398355,94.92363795900019,,95.62451312498888,m,1,0.6905939580174163,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
